,tweet,emoji,polarity,emotion
0,"The woman who was forced into child labour during WWII, and now is forced to leave her home. 💔Also, this line: ""There is a cruel symmetry to her experience — the bookends of her life."" 😭Incredibly powerful story from #Ukraine by @Em_Dawn @BrendanEsposito https://t.co/TnAx76Sd9s",['😭'],0,3
1,"A group of children who fled #Mariupol are now taking refuge in #Dnipro, where CNN asked them ""What do you want the world to know about #Ukraine?"" Here's what they had to say. These kids just want peace in the world and too feel safe. 😭 #UkraineRussianWar https://t.co/YiQrr9sWKn",['😭'],0,3
2,"@MZavala86 @RT_com Dictator Vladimir Putin has been defeated.
Russian 🇷🇺 soldiers are not going back to Russia.
They are now applying for #Ukraine 🇺🇦 citizenship.
Hahaha 😂
That is beyond defeat.",['😂'],1,1
3,"Yesterday in Brussels during a peaceful strike...
Devastating to see even our kids having to fight for freedom and suffering from this war 💔😓
#Ukraine️ #UkraineRussiaWar #UkraineWar #PeaceAndJustice https://t.co/FSJrW7I59G",['😓'],0,3
4,😡 The Russians who left the #Chornobyl nuclear power plant took with them Ukrainian border guards who had been held captive since the February 24 invasion of #Ukraine,['😡'],0,4
5,"Putin and your company GIVE UP😤😤you have already lost👎👎
RUSSIANS WAKE UP STOP YOUR WAR
@ZelenskyyUa #StandupWithUkraine #UkraineWar #StandWithUkraine https://t.co/8WxzKo4EK2","['😤', '😤']",0,4
6,@AnonymousVideo I been using https://1920 to send emails  everyday. To the point my mailbox was full and couldn’t cope 😂!. Thank you #squad3o3 and #Anonymous we #StandWithUkriane,['😂'],1,1
7,"#Russia's army. The best of the best. 😬

Glory to #Ukraine! 🇺🇦✊🏻 https://t.co/WTSOpM78xa",['😬'],0,6
8,"83% of Russians approve of #Putin's management, according to a study carried out by the non-governmental Russian consultancy @levada_ru. The figure is twelve points higher than that of last February before the invasion of #Ukraine. 🤬 #GloryToUkraine #ArgentinaEstáConUcrania 🇦🇷🇺🇦 https://t.co/IJHAEIOWIP",['🤬'],0,4
9,@AnonymousVideo I been using https://1920 to send emails  everyday. To the point my mailbox was full and couldn’t cope 😂!. Thank you #squad3o3 and #Anonymous we #StandWithUkriane,['😂'],1,1
10,"#Ukraine? Europe? US? UK? #NATO? ""Dark Secret at the heart of the #Nazi State"" ""Biggest Intelligence Coup of the War"" (Their words, not mine) At times like this, satire can be a powerful tool for the masses. Once a thing becomes ridiculous🤪😂 https://t.co/v8apK7OIkm",['😂'],1,1
11,"Don’t mention the war 😂 
#UkraineRussiaWar #Odessa #Kiev #SpecialMilitaryOperation https://t.co/MPzgEmQ9gO https://t.co/r05T59JbGg",['😂'],1,1
12,"Media showing russias attack and dead Ukrainian bodies .. lol
Check the whole video dead body moving 🤣 #Mariupol #Kharkiv #AzovBattalion #Kherson #Kyiv #death @ARYNEWSOFFICIAL https://t.co/OrXlNdWVbO",['🤣'],1,1
13,"#Ukraine? #NATO? ""Dark Secret at heart of the #Nazi State"" ""Biggest Intelligence Coup of the War"" Their words, not mine. At times like this, #satire is a powerful tool for the masses. Once a thing is ridiculous🤪😂Un-#Anonymous version (#Chinese subtitles) https://t.co/F0oxbS6zEc",['😂'],1,1
14,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
15,"LMAO.

Davido saying he knows where to get Drake money from...it's just so funny like hell..🤣

Everyone knows where to get huge money from, nah because of the consequence nah why we all dy run..🤣😹😹😹.

#Truth #Anonymous #AprilFools","['🤣', '🤣']",1,1
16,"Couple of my friends with a Startup in India got Selected for H1B, 

Now they will be working in the USA 😂 

#h1b #USA #Biden #startupindia #StartupSpace #startup",['😂'],1,1
17,"Let’s stop the russian spelling and name it the right way - like Ukrainians do 😍🇺🇦💙💛
#KyivNotKiev #Zelensky #StandWithUkraine #StopPutin #ukrainianatheart #spellingitright https://t.co/JfP1YjhfmX",['😍'],1,1
18,"Keep on mining pi🤣π
When it's still always equal to 22/7.
#Truth #AprilFools #Anonymous",['🤣'],1,1
19,Just in case you need quality information @RussianEmbassy to pass on to your #WarCrimes dictator #Putin who’s getting poor information Sieg Heil 🤓😂 https://t.co/wNkFNDairi,['😂'],1,1
20,"Every time you blow up a Russian fuel truck the Ukraine Farmers Army gets 4 new tanks!😂
#ukraine #ukrainianfarmers #SlavaUkraini https://t.co/a4eKkAYtYR",['😂'],1,1
21,"About that #RussiaRetreat from #Kviv #Ukraine. It's a rout according to American Newspapers. Supplies and ammo gone... #RussianArmy soldiers scavanging and maurading the civilian population, etc, ad nauseum...🤣

Intel Slava: https://t.co/gbfkFbH9ds",['🤣'],1,1
22,"#Ukraine
Russian soldier's who
confiscated Chernobyl Nuclear plant dug in highly contaminated area now suffer radiation sickness.😡
@airforcevet43 https://t.co/E1ayrkYlnS",['😡'],0,4
23,"@Forbes Wikipedia's response: 

We've created a new page for ""Stupid Fines We Won't Pay"" and filed your complaint under there.
🤣🤣
#RussiaUkraineWar #RussiaUkraineConflict","['🤣', '🤣']",1,1
24,"I hope the war between Russia and Ukraine will end soon🙏😔
But why has the world forgotten Yemen????!!! 
Today is 2535th day of the war in Yemen...😭
@UN
#UkraineRussia 
#Yemen https://t.co/UoR4U4Blbg","['😔', '😭']",0,3
25,"@funder Meanwhile..#JoeBiden wishes all a Happy Ruble Day!😊
#BidenGasHike #BidenCrimeFamilly #SanctionsRussia #Ukraine 

https://t.co/G4kliQlFkx
HB
https://t.co/wIztMY6ZZZ
HB
https://t.co/EYvUixk9Fz
HBL
https://t.co/W3dJwXt2SP
ZB https://t.co/1v8Wh8PlFw",['😊'],1,1
26,"@OsintUpdates Even #airforceone was armed with #nuclear weapons right into #Poland recently ...Lol....😂😂

#MilitaryIndustrialComplex
#Russia #Ukraine 
#RussiaUkraineWar https://t.co/FGKeArs8YI","['😂', '😂']",1,1
27,"#Chernihiv today - no electrical power, no running water, no gas, no proper cellular network. People cook food outside. People have to charge phones from generators. This is a reality of 2022! We thought nothing could be worse than covid 😢 #StopPutinNOW #StopWarInUkraine https://t.co/Tv8AEmQFyI",['😢'],0,3
28,World must know this names  😡all  this I can not call it people  are war criminals 🤬 #StopWarInUkraine #StopPutinNOW #SlavaUkraine #StandingWithUkraine #Anonymous #OpRussia https://t.co/JBZJpiqST4,"['😡', '🤬']",0,4
29,Oil prices have risen 🤣 🤣 🤣 #Biden #Oilprices #oott https://t.co/GhTweG3Yt5,"['🤣', '🤣', '🤣']",1,1
30,"#Australian shopping centres are carrying saturation recruitment propaganda aimed at young people who want to be heroes and travel the world .. to disgrace and death in the next foreign wars after #Afghanistan, #Iraq and #Syria .. perhaps #Ukraine and #China? 😬 https://t.co/XnkuvUuRLe",['😬'],0,6
31,"#ThrowbackThursday #2018 @marieclaire #Ukraine When the times were good😢
#StopTheWar 💔 #SupportUkraine 🇺🇦
📷 #susanbowlus https://t.co/Z9gO0VaerG",['😢'],0,3
32,@nytimesworld #Opinion polls and in #Russia 😏😬 https://t.co/OdjvRmtN0f,['😬'],0,6
33,Havent seen any commie Texas man videos lately just vanished like an old fart in the wind 😂 #RussellBentley #Ukraine https://t.co/Yl5rRCGO7j,['😂'],1,1
34,"#zino #Anonymous #EFCC #over1.5  #Lekki 
#emeka #AprilFool #AprilFoolDay #poch
#AprilFools #foolsday April fool went wrong 😂

I follow back ASAP Guys ❤️ https://t.co/XOZ9EYmb7F",['😂'],1,1
35,"Ukrainian soldier is very very upset that Russians are dropping ginormous bombs on them and they can't do anything about it other than cry 😂😂
#Russianarmy #DenazifyUkraine #denazification #Donbass #RussianUkraineWar #AzovBattalion
#Mariupol https://t.co/6vpV02s0tH","['😂', '😂']",1,1
36,"It's just TOO funny seeing the #racist @FLGOPMajority get so in their feels about being told, no, you actually can't be #racist in #America. 😂😆😂😆😂😆😂😆😂 I hear #Russia would be happy to have you! https://t.co/jJ0chJ4Y30","['😂', '😆', '😂', '😆', '😂', '😆', '😂', '😆', '😂']",1,1
37,Goodnight #Ukraine. Stay safe people and never let the Russian army build a bridge for you. 😆 https://t.co/aaDoZEL6AM,['😆'],1,1
38,"#zino #Anonymous #EFCC #over1.5  #Lekki 
#emeka #AprilFool #AprilFoolDay #poch
#AprilFools #foolsday April fool went wrong 😂

I follow back ASAP Guys ❤️ https://t.co/XOZ9EYmb7F",['😂'],1,1
39,"On the back of her car window, a friend of mine  wrote “F[]ck #Putin “ 😂😍","['😂', '😍']",1,1
40,Havent seen any commie Texas man videos lately just vanished like an old fart in the wind 😂 #RussellBentley #Ukraine https://t.co/Yl5rRCGO7j,['😂'],1,1
41,Lucky this Russian tank had one of those protective cages over its turret. Or things could been a lot worse.  😃 #Ukraine https://t.co/CuOa2Wx1Yx,['😃'],1,1
42,"I’m so saddened with #russia and the #Ukraine…..I’m tearing as I write this,my love for Europe is #enormous &amp; it’s hurts me deeply to see this #god please fix it…….They also say it it’s a #tornado brewing in the region I pray everyone is safe 😢☹️",['😢'],0,3
43,"This is really wild! 😬😳😱
#UkraineRussianWar
#Ukraine #Russia #RussiaUkraine
https://t.co/Lt0zTuZIDa",['😬'],0,6
44,"This is really wild! 😬😳😱
#UkraineRussianWar
#Ukraine #Russia #RussiaUkraine
https://t.co/Lt0zTuZIDa",['😬'],0,6
45,"Yikes, the 10Y-2Y inversion is the best indicator for recession soon, as far as I know, 100% accuracy😬
#StockMarket #StocksToBuy #stockmarketcrash #OTCMarkets #Biden #Bidenflation #recession https://t.co/E8axgYtQQp",['😬'],0,6
46,"#Putin is really rubbing it in, offering oil to friendly nations at 50% discount

Ze Germanz must be going nutz right now🤣

#germany #oil #russia #ukraine #zelensky #eu https://t.co/cqVF7ISJJg",['🤣'],1,1
47,"Oh Jessie 😍🐾   UAnimals have shared the wonderful story of a little pup called Jessie. Born during war, cared for and loved by #Ukraine soldiers. Animals have a massive part to play in war &amp; little Jessie is so loved. 💙💛 #ukraineanimals Photo: UAnimals https://t.co/Fe8X4SljZX",['😍'],1,1
48,😡 The Russians who left the #Chornobyl nuclear power plant took with them Ukrainian border guards who had been held captive since the February 24 invasion of #Ukraine,['😡'],0,4
49,@AnonymousVideo I been using https://1920 to send emails  everyday. To the point my mailbox was full and couldn’t cope 😂!. Thank you #squad3o3 and #Anonymous we #StandWithUkriane,['😂'],1,1
50,"Oh Jessie 😍🐾   UAnimals have shared the wonderful story of a little pup called Jessie. Born during war, cared for and loved by #Ukraine soldiers. Animals have a massive part to play in war &amp; little Jessie is so loved. 💙💛 #ukraineanimals Photo: UAnimals https://t.co/Fe8X4SljZX",['😍'],1,1
51,"@GlobalResisters @ItsKingResist @Blindfaith551 @DemsAbroad @beachlifelinda1 @3Sidecarsplzz @Dino__Poodle @bluvelvet1122 @AceBearstrom @MrMugsy2U @1joav @DoctorM_DO @fireman452a @JaxHarley5 @loveshine204 @4a_of @POPOFFfive5live @DemsAbroadGBC @Gspirithorse @AllenLEllison @ChampionBan @elvia_espi @CallTrixie @LaurieTraub12 @jensdad4biden @awn263 @MsVernestyne @DerekGuberney @RickChapterTwo @RussellFosterTX @Franks2ndlife @rickyc183 @joshtwelves Haaeeeyy Y’all😅, LOVE the GR Memes ur making!!!!🥰♥️🤗

Thx SO much🤗🌹, honored🥰 &amp; happily following ALLL these Lovelies!!!!😁

HAPPY FRIDAY EVE WOOHOO!!!😅🥳🎊🍾♥️🍺🎉😘😁

#SlavaUkraïni!!!!💙🌻🇺🇦

🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿🌲💫🐿👇😂 https://t.co/oqle19fR4j","['😅', '😅', '😂']",1,1
52,"This is really wild! 😬😳😱
#UkraineRussianWar
#Ukraine #Russia #RussiaUkraine
https://t.co/Lt0zTuZIDa",['😬'],0,6
53,"Order Your Emoji Slippers for only R170😍
ORDER NOW 🛒👇🏽
https://t.co/TAcH66fcPA
Courier Nationwide 🇿🇦
Online Shopping Made Simple 📲

#NATO #Putin #Xmovie #China #R800K #NSFAS #NSFASSetencing #NoToHealthAmendmentAct #Zandile #Thief #Pedi #Frame2 #Love #Slippers #SamsungBespoke https://t.co/jmz59QaBc8",['😍'],1,1
